SimID,FactorSimID,Similarity,OverlapAssets,OverlapCount,Return_Traditional,Sharpe_Traditional,Return_Factor,Sharpe_Factor
2024,3865,0.6,"FLPSX,JUEAX,SPY,VBIRX,VFIAX,VGENX",6,0.1026264342764476,0.7913078122418088,0.1245088724279015,0.7614894879132252
1674,3792,0.75,"JUEAX,MACSX,SLYV,SWPPX,TGINX,VVIAX",6,0.1088911948830599,0.7911811134030913,0.1198941139992273,0.7615189751141287
1675,4520,0.6,"EWU,FLPSX,JUEAX,SPY,TGINX,VGENX",6,0.1235352423793275,0.7899215075522065,0.1293221533326763,0.7844030611484558
4851,4447,0.6,"EWU,FLPSX,IJS,IJT,SPY,TGINX",6,0.1182260016084807,0.7892381893246209,0.0933345020247757,0.7711955129052797
1379,1433,0.625,"FLPSX,IVV,QQQ,VTI,VVIAX",5,0.1393265113185513,0.7877202778738397,0.104873667843898,0.7153121401039079
884,1064,0.6363636363636364,"EWW,IJS,IJT,MACSX,QQQ,VFIAX,VTSAX",7,0.1381656382327268,0.7876437943239633,0.1408397855735056,0.7996337335232097
4589,477,0.6,"EFA,EWW,FLPSX,JUEAX,MACSX,SPY,VBIRX,VFIAX,VTRIX",9,0.1405722188831625,0.7870419057078397,0.1248902134879705,0.7797184698379674
4589,388,0.6,"EFA,FLPSX,MACSX,SPY,VBIRX,VFIAX,VGENX,VGSLX,VTRIX",9,0.1405722188831625,0.7870419057078397,0.1136369555020472,0.7352131179672153
4050,486,0.6,"MACSX,TGINX,VVIAX",3,0.1102463399565667,0.786914927367185,0.1087450334081337,0.7864497580385915
4050,1152,0.6,"TGINX,VFIAX,VVIAX",3,0.1102463399565667,0.786914927367185,0.0911492529866454,0.6910423619873659
146,3887,0.6363636363636364,"EFA,IVV,MACSX,SPY,SWPPX,TGINX,VGSLX",7,0.1327073234119225,0.7868377319638546,0.1006467511970373,0.7507088124883111
4516,4956,0.7,"FLPSX,IJS,IJT,JUEAX,TGINX,VTSAX,YACKX",7,0.1275255198079354,0.786189803722248,0.1232630830448227,0.8241460212335173
2400,2639,0.6,"EWW,MACSX,TGINX",3,0.104555452552743,0.7857593337370383,0.1032844646119663,0.7409272842127029
2779,573,0.625,"IJT,MACSX,MDY,TGINX,YACKX",5,0.1159199657265913,0.7851856371974657,0.1064938311141681,0.7444422173810467
4983,2914,0.6,"FLPSX,JUEAX,MACSX,MASKX,QQQ,SWPPX,VBIRX,VTSAX,YACKX",9,0.1279953450694308,0.7836066737921994,0.1317435598311634,0.8175587829333849
4151,3997,0.6,"FEMKX,MACSX,QQQ,SLYV,VGENX,YACKX",6,0.1374219355328715,0.7834711471338687,0.1511639289240815,0.8712178274420753
4599,4136,0.6,"JUEAX,MACSX,SWPPX,VBIRX,VGSLX,YACKX",6,0.1306513834139459,0.7828972804345775,0.1322998053384053,0.8656933313788671
4599,894,0.6153846153846154,"IJS,JUEAX,MACSX,SWPPX,VBIRX,VGSLX,VVIAX,YACKX",8,0.1306513834139459,0.7828972804345775,0.1099947799550953,0.742606612809483
2289,4036,0.6,"EWW,FLPSX,IVV,TGINX,VTSAX,YACKX",6,0.1365514239158211,0.7810934735470004,0.1238371986547871,0.8561479986749135
3977,3617,0.7142857142857143,"JUEAX,MACSX,VFIAX,VTSAX,YACKX",5,0.1343209881978981,0.7788220490571088,0.1462445111077317,0.8845872285564449
3977,2804,0.625,"MACSX,MASKX,MDY,VTSAX,YACKX",5,0.1343209881978981,0.7788220490571088,0.1362585499206479,0.7953117793455088
2664,4977,0.6,"FLPSX,IVV,MACSX,MASKX,QQQ,SLYV,SWSSX,TGINX,VGENX",9,0.1264754167637689,0.7784329276449181,0.1132073811011316,0.7330631953780088
2712,1077,0.6,"FLPSX,IVV,IWM,MACSX,SPY,YACKX",6,0.1313864098555822,0.7783938249823678,0.1155889390244086,0.7438065724642555
2829,1598,0.6428571428571429,"EWW,IVV,JUEAX,MACSX,MASKX,SWSSX,VBIRX,VGSLX,YACKX",9,0.1260884522453227,0.7768031358951639,0.1290096995012173,0.7922206611700883
3002,2120,0.6,"EWG,EWW,FLPSX,MACSX,QQQ,SWPPX,SWSSX,VTSAX,YACKX",9,0.1395151641138426,0.7756700636046099,0.1175171225909673,0.778074429751026
690,792,0.6428571428571429,"EFA,IJS,JUEAX,MACSX,QQQ,TGINX,VBIRX,VGSLX,YACKX",9,0.1168047011248134,0.7747880071816439,0.1140180825114103,0.7926920424204483
274,1325,0.6,"MACSX,SWPPX,SWSSX",3,0.128061939785601,0.774720385472047,0.1278576857210593,0.8447742411677173
